(Label: node_id, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: stn, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: soc, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: fracsec, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vm1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vm2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vm3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: im1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: im2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: im3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vph1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vph2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vph3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: iph1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: iph2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: iph3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: f, Match: frequency meter, Ontology: enersharedevice, Score: 0)
(Label: df, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vzsm, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: izsm, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: vzsph, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: izsph, Match: turbulence, Ontology: ontowind, Score: 0)
(Label: digita, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: analog, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gearoiltemperature_val, Match: temperature, Ontology: ontowind, Score: 0)
(Label: gearboxoilinlettemperature_val, Match: temperature, Ontology: ontowind, Score: 0)
(Label: gearboxoilinletpressure_val, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: hssgearbearinggensidetemperature_val, Match: temperature, Ontology: ontowind, Score: 0)
(Label: gearboxrotationspeed_val, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: gearboxoilpumppressure_val, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: deltaoiltemperature, Match: has average temperature, Ontology: platoonwindturbine, Score: 0)
(Label: ratiooilgeartemperature, Match: has minimum temperature, Ontology: platoonwindturbine, Score: 0)
(Label: time [s], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: nacelle_anemometer [m/s], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: nacelle_vane [deg], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_accumulatorsok, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_boost, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev4, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev5, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_ev6, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_enable, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_pv_blade1, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_pv_blade2, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_pv_blade3, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_position_blade1 [m], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_position_blade2 [m], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_position_blade3 [m], Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: pitchcontrol_status, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: pitchcontrol_trackingok, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: powerunit_pressure, Match: full converter, Ontology: enersharewindturbine, Score: 0)
(Label: turbinecontrol_enable, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_generatorpower [w], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_generatorspeed [rpm], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_generatortorque [knm], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_pitchangledemand [deg], Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_pitchangles [deg](1), Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_pitchangles [deg](2), Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_pitchangles [deg](3), Match: nomatch, Ontology: nomatch, Score: 0)
(Label: turbinecontrol_run, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: parc_code, Match: nomatch, Ontology: nomatch, Score: 0)
(Label: mac_code, Match: nomatch, Ontology: nomatch file name, Score: 0)
(Label: date, Match: nomatch, Ontology: nomatch file name, Score: 0)
