{Label: gearoiltemperature_val, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: gearboxoilinlettemperature_val, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: gearboxoilinletpressure_val, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: hssgearbearinggensidetemperature_val, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: gearboxrotationspeed_val, Match: wind speed property, Ontology: seasgenericproperty, Score: 0}
{Label: gearboxoilpumppressure_val, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: deltaoiltemperature, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: ratiooilgeartemperature, Match: temperature property, Ontology: seasgenericproperty, Score: 0}
{Label: time [s], Match: time instant, Ontology: time, Score: 0}
{Label: nacelle_anemometer [m/s], Match: wind speed property, Ontology: enershareweather, Score: 0}
{Label: nacelle_vane [deg], Match: winddirection, Ontology: ontowind, Score: 0}
{Label: pitchcontrol_accumulatorsok, Match: heat pipe, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_boost, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev1, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev2, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev3, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev4, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev5, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_ev6, Match: has energy capacity, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_enable, Match: heat pipe, Ontology: enersharesystem, Score: 0}
{Label: pitchcontrol_pv_blade1, Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_pv_blade2, Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_pv_blade3, Match: calorific value property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_position_blade1 [m], Match: ratio property, Ontology: enershareproperty, Score: 0}
{Label: pitchcontrol_position_blade2 [m], Match: ratio property, Ontology: enershareproperty, Score: 0}
