{Label: gearoiltemperature_val, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: gearboxoilinlettemperature_val, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: gearboxoilinletpressure_val, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: hssgearbearinggensidetemperature_val, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: gearboxrotationspeed_val, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: gearboxoilpumppressure_val, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: deltaoiltemperature, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: ratiooilgeartemperature, Match: has temperature rotor side, Ontology: platoonwindturbine, Score: 0}
{Label: time [s], Match: timeinstant, Ontology: w3c-time, Score: 0}
{Label: nacelle_anemometer [m/s], Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: nacelle_vane [deg], Match: measurement property, Ontology: seas, Score: 0}
{Label: pitchcontrol_accumulatorsok, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_boost, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev1, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev2, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev3, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev4, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev5, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_ev6, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
{Label: pitchcontrol_enable, Match: pitch angleproperty, Ontology: platoonwindturbine, Score: 0}
