1. (Label: node_id, Match: noMatch, Ontology: noMatch, Score: 0.85)
2. (Label: Measuring station (always 'Station-0'), Match: noMatch, Ontology: noMatch, Score: 0.79)
3. (Label: Unix timestamp, Match: noMatch, Ontology: noMatch, Score: 0.80)
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: noMatch, Score: 0.82)
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
8. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
9. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
10. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.88)
11. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.72)
12. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.72)
13. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.72)
14. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.70)
15. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.70)
16. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.70)
17. (Label: Frequency, Match: noMatch, Ontology: noMatch, Score: 0.81)
18. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.75)
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.80)
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.79)
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.77)
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.73)
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: noMatch, Score: 0.84)
24. (Label: Analog input (always 0), Match: noMatch, Ontology: noMatch, Score: 0.84)
1. (Label: stn, Match: noMatch, Ontology: noMatch, Score: 0.7)  
2. (Label: Measuring station-0, Match: noMatch, Ontology: noMatch, Score: 0.7)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: noMatch, Score: 0.7)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
14. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
15. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
16. (Label: Current phase LN, Match: noMatch, Ontology: noMatch, Score: 0.7)  
17. (Label: Frequency, Match: noMatch, Ontology: noMatch, Score: 0.7)  
18. (Label: RoCoF, Match: noMatch, Ontology: noMatch, Score: 0.7)  
19. (Label: Voltage zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
20. (Label: Current zero sequence magnitude, Match: noMatch, Ontology: noMatch, Score: 0.7)  
21. (Label: Voltage zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
22. (Label: Current zero sequence phase, Match: noMatch, Ontology: noMatch, Score: 0.7)  
23. (Label: Digital input/output (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
24. (Label: Analog input (always 0), Match: noMatch, Ontology: noMatch, Score: 0.7)  
1. (Label: soc, Match: noMatch, Ontology: n/a, Score: 0.8)  
2. (Label: Station-0, Match: noMatch, Ontology: n/a, Score: 0.6)  
3. (Label: Unix timestamp, Match: noMatch, Ontology: n/a, Score: 0.8)  
4. (Label: Timestamp fraction of seconds (always 0), Match: noMatch, Ontology: n/a, Score: 0.8)  
5. (Label: Voltage magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
6. (Label: Voltage magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
7. (Label: Voltage magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
8. (Label: Current magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
9. (Label: Current magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
10. (Label: Current magnitude LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
11. (Label: Voltage phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
12. (Label: Voltage phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
13. (Label: Voltage phase LN, Match: noMatch, Ontology: n/a, Score: 0.6)  
