1. (Label: GearOilTemperature_val, Match: <https://w3id.org/platoon/hasInputOilAverageTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
2. (Label: GearboxOilInletTemperature_val, Match: <https://w3id.org/platoon/hasInputOilMinimumTemperature>, Ontology: PlatoonWindturbine.txt, Score: High)
3. (Label: GearboxOilInletPressure_val, Match: <https://w3id.org/enershare/property/hasDeliveryPressure>, Ontology: EnershareProperty.txt, Score: High)
4. (Label: HssGearBearingGenSideTemperature_val, Match: <https://w3id.org/platoon/hasTemperatureGeneratorSide>, Ontology: PlatoonWindturbine.txt, Score: High)
5. (Label: GearboxRotationSpeed_val, Match: <https://w3id.org/platoon/hasAirTemperatureSetpoint>, Ontology: PlatoonWeather.txt, Score: Medium)
6. (Label: GearboxOilPumpPressure_val, Match: <https://w3id.org/enershare/property/hasMaximumDeliveryPressure>, Ontology: EnershareProperty.txt, Score: High)
7. (Label: DeltaOilTemperature, Match: <https://w3id.org/enershare/property/hasNaturalGasEnergy>, Ontology: EnershareProperty.txt, Score: Low)
8. (Label: RatioOilGearTemperature, Match: <https://w3id.org/enershare/property/hasDailyGrossCalorificValue>, Ontology: EnershareProperty.txt, Score: Low)
9. (Label: Time [s], Match: <https://w3id.org/seas/Time>, Ontology: Not found, Score: Low)
10. (Label: Nacelle_Anemometer [m/s], Match: <https://w3id.org/platoon/hasCoolingAirTemperatureSetpoint>, Ontology: PlatoonWeather.txt, Score: Medium)
1. (Label: Nacelle_Vane [deg], Match: <https://w3id.org/platoon/Vane>, Ontology: PlatoonWindturbine.txt, Score: High)
2. (Label: PitchControl_AccumulatorsOK, Match: <https://w3id.org/enershare/windturbine/Accumulator>, Ontology: EnershareWindturbine.txt, Score: High)
3. (Label: PitchControl_Boost, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchPump>, Ontology: EnershareWindturbine.txt, Score: Medium)
4. (Label: PitchControl_EV1, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
5. (Label: PitchControl_EV2, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
6. (Label: PitchControl_EV3, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
7. (Label: PitchControl_EV4, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
8. (Label: PitchControl_EV5, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
9. (Label: PitchControl_EV6, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
10. (Label: PitchControl_Enable, Match: <https://w3id.org/enershare/windturbine/PitchPump>, Ontology: EnershareWindturbine.txt, Score: Medium)
1. (Label: PitchControl_PV_Blade1, Match: <https://w3id.org/enershare/windturbine/PitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
2. (Label: PitchControl_PV_Blade2, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
3. (Label: PitchControl_PV_Blade3, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
4. (Label: PitchControl_Position_Blade1 [m], Match: <https://w3id.org/enershare/windturbine/PitchCylinder>, Ontology: EnershareWindturbine.txt, Score: 0.8)
5. (Label: PitchControl_Position_Blade2 [m], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchCylinder>, Ontology: EnershareWindturbine.txt, Score: 0.8)
6. (Label: PitchControl_Position_Blade3 [m], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchCylinder>, Ontology: EnershareWindturbine.txt, Score: 0.8)
7. (Label: PitchControl_Position_Reference [m], Match: <https://w3id.org/enershare/windturbine/PitchAccumulator>, Ontology: EnershareWindturbine.txt, Score: 0.8)
8. (Label: PitchControl_Pressure_A1_Blade1 [bar], Match: <https://w3id.org/enershare/windturbine/PitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
9. (Label: PitchControl_Pressure_A1_Blade2 [bar], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
10. (Label: PitchControl_Pressure_A1_Blade3 [bar], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchPump>, Ontology: EnershareWindturbine.txt, Score: 0.8)
1. (Label: PitchControl_Pressure_A2_Blade1 [bar], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchCylinder>, Ontology: EnershareWindturbine.txt, Score: High)
2. (Label: PitchControl_Pressure_A2_Blade2 [bar], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchCylinder>, Ontology: EnershareWindturbine.txt, Score: High)
3. (Label: PitchControl_Pressure_A2_Blade3 [bar], Match: <https://w3id.org/enershare/windturbine/HydraulicPitchCylinder>, Ontology: EnershareWindturbine.txt, Score: High)
4. (Label: PitchControl_Status, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchSystem>, Ontology: EnershareWindturbine.txt, Score: High)
5. (Label: PitchControl_TrackingOK, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchSystem>, Ontology: EnershareWindturbine.txt, Score: High)
6. (Label: PowerUnit_Pressure [bar], Match: <https://w3id.org/enershare/property/PressureFilterCloggingIndicatorProperty>, Ontology: EnershareProperty.txt, Score: High)
7. (Label: TurbineControl_Enable, Match: <https://w3id.org/enershare/windturbine/PitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: High)
8. (Label: TurbineControl_GeneratorPower [W], Match: <https://w3id.org/enershare/property/hasNominalRotationalSpeed>, Ontology: EnershareProperty.txt, Score: High)
9. (Label: TurbineControl_GeneratorSpeed [rpm], Match: <https://w3id.org/enershare/property/hasNominalRotationalSpeed>, Ontology: EnershareProperty.txt, Score: High)
10. (Label: TurbineControl_GeneratorTorque [kNm], Match: <https://w3id.org/enershare/property/RatioProperty>, Ontology: EnershareProperty.txt, Score: High)
1. (Label: TurbineControl_PitchAngleDemand [deg], Match: <https://w3id.org/platoon/hasPitchAngleSetpoint>, Ontology: PlatoonWindturbine.txt, Score: High)
2. (Label: TurbineControl_PitchAngles [deg](1), Match: <https://w3id.org/platoon/hasPitchAngle>, Ontology: PlatoonWindturbine.txt, Score: High)
3. (Label: TurbineControl_PitchAngles [deg](2), Match: <https://w3id.org/platoon/hasAveragePitchAngle>, Ontology: PlatoonWindturbine.txt, Score: High)
4. (Label: TurbineControl_PitchAngles [deg](3), Match: <https://w3id.org/platoon/hasMaximumPitchAngle>, Ontology: PlatoonWindturbine.txt, Score: High)
5. (Label: TurbineControl_Run, Match: <https://w3id.org/platoon/PitchControl>, Ontology: PlatoonWindturbine.txt, Score: High)
6. (Label: parc_code, Match: <https://w3id.org/enershare/windturbine/PitchProportionalValve>, Ontology: EnershareWindturbine.txt, Score: Medium)
7. (Label: mac_code, Match: <https://w3id.org/enershare/windturbine/Hose>, Ontology: EnershareWindturbine.txt, Score: Medium)
8. (Label: date, Match: <https://w3id.org/enershare/windturbine/Accumulator>, Ontology: EnershareWindturbine.txt, Score: Medium)
9. (Label: temperature_Data.AmbientTemp, Match: <https://w3id.org/enershare/windturbine/PitchAccumulator>, Ontology: EnershareWindturbine.txt, Score: Medium)
10. (Label: temperature_Data.Blade_A_Temp, Match: <https://w3id.org/enershare/windturbine/HydraulicPitchAccumulator>, Ontology: EnershareWindturbine.txt, Score: Medium)
1. (Label: temperature_Data.Blade_B_Temp, Match: <https://w3id.org/enershare/property/hasTemperatureRating>, Ontology: EnershareProperty.txt, Score: 0.9)
2. (Label: temperature_Data.Blade_C_Temp, Match: <https://w3id.org/enershare/property/hasTemperatureRating>, Ontology: EnershareProperty.txt, Score: 0.9)
3. (Label: temperature_Data.CtrlCabinetTemp, Match: <https://w3id.org/platoon/hasInputOilAverageTemperature>, Ontology: PlatoonWindturbine.txt, Score: 0.8)
4. (Label: temperature_Data.FrontBearingTemp, Match: <https://w3id.org/platoon/hasTemperatureRotorSide>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
5. (Label: temperature_Data.NacelleAmbientTemp, Match: <https://w3id.org/enershare/property/hasWaterTemperature>, Ontology: EnershareProperty.txt, Score: 0.8)
6. (Label: temperature_Data.NacelleCtrlCabTemp, Match: <https://w3id.org/enershare/property/hasWaterTemperature>, Ontology: EnershareProperty.txt, Score: 0.8)
7. (Label: temperature_Data.NacelleTemp, Match: <https://w3id.org/enershare/property/hasWaterTemperature>, Ontology: EnershareProperty.txt, Score: 0.8)
8. (Label: temperature_Data.NbSamplingValues, Match: <https://w3id.org/platoon/ForecastOfTemperatureProperty>, Ontology: PlatoonWeather.txt, Score: 0.7)
9. (Label: temperature_Data.RearBearingTemp, Match: <https://w3id.org/platoon/hasTemperatureRotorSide>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
10. (Label: temperature_Data.RectifierCab_Temp, Match: <https://w3id.org/platoon/hasInputOilAverageTemperature>, Ontology: PlatoonWindturbine.txt, Score: 0.8)
1. (Label: temperature_Data.RotorTemp_1, Match: <https://w3id.org/platoon/hasTemperatureRotorSide>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
2. (Label: temperature_Data.RotorTemp_2, Match: <https://w3id.org/platoon/hasTemperatureGeneratorSide>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
3. (Label: temperature_Data.SpinnerTemp, Match: <https://w3id.org/seas/TemperatureProperty>, Ontology: SEASGenericProperty.txt, Score: 0.9)
4. (Label: temperature_Data.StatorTemp_1, Match: <https://w3id.org/platoon/hasInputOilMinimumTemperature>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
5. (Label: temperature_Data.StatorTemp_2, Match: <https://w3id.org/platoon/hasInputOilMaximumTemperature>, Ontology: PlatoonWindturbine.txt, Score: 0.9)
6. (Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: <https://w3id.org/enershare/property/hasHeatTransferCoefficient>, Ontology: EnershareProperty.txt, Score: 0.9)
7. (Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: <https://w3id.org/enershare/property/hasAverageStandardHeatTransferCoefficient>, Ontology: EnershareProperty.txt, Score: 0.9)
