1. {Label: node_id, Match: noMatch, Ontology: noMatch file name, Score: 0}  
2. {Label: stn, Match: noMatch, Ontology: noMatch file name, Score: 0}  
3. {Label: soc, Match: noMatch, Ontology: noMatch file name, Score: 0}  
4. {Label: fracsec, Match: noMatch, Ontology: noMatch file name, Score: 0}  
5. {Label: vm1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
6. {Label: vm2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
7. {Label: vm3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
8. {Label: im1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
9. {Label: im2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
10. {Label: im3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
1. {Label: vph1, Match: noMatch, Ontology: noMatch file name, Score: 0}
2. {Label: vph2, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: vph3, Match: noMatch, Ontology: noMatch file name, Score: 0}
4. {Label: iph1, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: iph2, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: iph3, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: f, Match: Frequency Meter, Ontology: EnershareDevice, Score: 0.5}
8. {Label: df, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: vzsm, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: izsm, Match: noMatch, Ontology: noMatch file name, Score: 0}
1. {Label: vzsph, Match: noMatch, Ontology: noMatch file name, Score: 0}  
2. {Label: izsph, Match: Turbulence, Ontology: OntoWind.txt, Score: 0.5}  
3. {Label: digita, Match: noMatch, Ontology: noMatch file name, Score: 0}  
4. {Label: analog, Match: noMatch, Ontology: noMatch file name, Score: 0}  
5. {Label: GearOilTemperature_val, Match: Temperature, Ontology: OntoWind.txt, Score: 0.5}  
6. {Label: GearboxOilInletTemperature_val, Match: Temperature, Ontology: OntoWind.txt, Score: 0.5}  
7. {Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}  
8. {Label: HssGearBearingGenSideTemperature_val, Match: Temperature, Ontology: OntoWind.txt, Score: 0.5}  
9. {Label: GearboxRotationSpeed_val, Match: noMatch, Ontology: noMatch file name, Score: 0}  
10. {Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}  
1. {Label: DeltaOilTemperature, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine.txt, Score: 1}
2. {Label: RatioOilGearTemperature, Match: hasInputOilMinimumTemperature, Ontology: PlatoonWindturbine.txt, Score: 0.9}
3. {Label: Time [s], Match: noMatch, Ontology: noMatch file name, Score: 0}
4. {Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: Nacelle_Vane [deg], Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: PitchControl_Boost, Match: noMatch, Ontology: noMatch file name, Score: 0}
8. {Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch file name, Score: 0}
1. {Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch file name, Score: 0}
2. {Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch file name, Score: 0}
4. {Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: PitchControl_PV_Blade1, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: PitchControl_PV_Blade2, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: PitchControl_PV_Blade3, Match: noMatch, Ontology: noMatch file name, Score: 0}
8. {Label: PitchControl_Position_Blade1 [m], Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: PitchControl_Position_Blade2 [m], Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: PitchControl_Position_Blade3 [m], Match: noMatch, Ontology: noMatch file name, Score: 0}
1. {Label: PitchControl_Status, Match: noMatch, Ontology: noMatch, Score: 0}  
2. {Label: PitchControl_TrackingOK, Match: noMatch, Ontology: noMatch, Score: 0}  
3. {Label: PowerUnit_Pressure , Match: Full Converter, Ontology: EnershareWindturbine, Score: 0.3}  
1. {Label: TurbineControl_Enable, Match: noMatch, Ontology: noMatch, Score: 1}
2. {Label: TurbineControl_GeneratorPower [W], Match: noMatch, Ontology: noMatch, Score: 1}
3. {Label: TurbineControl_GeneratorSpeed [rpm], Match: noMatch, Ontology: noMatch, Score: 1}
4. {Label: TurbineControl_GeneratorTorque [kNm], Match: noMatch, Ontology: noMatch, Score: 1}
5. {Label: TurbineControl_PitchAngleDemand [deg], Match: noMatch, Ontology: noMatch, Score: 1}
6. {Label: TurbineControl_PitchAngles [deg](1), Match: noMatch, Ontology: noMatch, Score: 1}
7. {Label: TurbineControl_PitchAngles [deg](2), Match: noMatch, Ontology: noMatch, Score: 1}
8. {Label: TurbineControl_PitchAngles [deg](3), Match: noMatch, Ontology: noMatch, Score: 1}
9. {Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch, Score: 1}
10. {Label: parc_code, Match: noMatch, Ontology: noMatch, Score: 1}
1. {Label: mac_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
2. {Label: date, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: temperature_Data.AmbientTemp, Match: AmbientTemp, Ontology: SEASGenericProperty.txt, Score: 1}
4. {Label: temperature_Data.Blade_A_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: temperature_Data.Blade_B_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: temperature_Data.Blade_C_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: temperature_Data.CtrlCabinetTemp, Match: CtrlCabinetTemp, Ontology: SEASGenericProperty.txt, Score: 1}
8. {Label: temperature_Data.FrontBearingTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: temperature_Data.NacelleAmbientTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: temperature_Data.NacelleCtrlCabTemp, Match: noMatch, Ontology: noMatch file name, Score: 0}
1. {Label: temperature_Data.NacelleTemp, Match: noMatch, Ontology: noMatch, Score: 0}
2. {Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
3. {Label: temperature_Data.RearBearingTemp, Match: name, Ontology: PlatoonWindturbine, Score: 1}
4. {Label: temperature_Data.RectifierCab_Temp, Match: noMatch, Ontology: noMatch, Score: 0}
5. {Label: temperature_Data.RotorTemp_1, Match: noMatch, Ontology: noMatch, Score: 0}
6. {Label: temperature_Data.RotorTemp_2, Match: noMatch, Ontology: noMatch, Score: 0}
7. {Label: temperature_Data.SpinnerTemp, Match: noMatch, Ontology: noMatch, Score: 0}
8. {Label: temperature_Data.StatorTemp_1, Match: noMatch, Ontology: noMatch, Score: 0}
9. {Label: temperature_Data.StatorTemp_2, Match: noMatch, Ontology: noMatch, Score: 0}
10. {Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: noMatch, Ontology: noMatch, Score: 0}
1. {Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
2. {Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
3. {Label: temperature_Data.TempExcitationHeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
4. {Label: temperature_Data.TempInSys_1_PowerCab_1, Match: noMatch, Ontology: noMatch file name, Score: 0}  
5. {Label: temperature_Data.TempInSys_1_PowerCab_2, Match: noMatch, Ontology: noMatch file name, Score: 0}  
6. {Label: temperature_Data.TempInSys_1_PowerCab_3, Match: noMatch, Ontology: noMatch file name, Score: 0}  
7. {Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: noMatch, Ontology: noMatch file name, Score: 0}  
8. {Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: noMatch, Ontology: noMatch file name, Score: 0}  
9. {Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: noMatch, Ontology: noMatch file name, Score: 0}  
10. {Label: temperature_Data.TempRectifier_1_HeatSink, Match: noMatch, Ontology: noMatch file name, Score: 0}  
1. {Label: temperature_Data.TempRectifier_2_HeatSink, Match: noMatch, Ontology: noMatch file name, Score: 1}
2. {Label: temperature_Data.TowerTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
3. {Label: temperature_Data.TransformerTemp, Match: noMatch, Ontology: noMatch file name, Score: 1}
4. {Label: wec_std.Avg_AmbientBrightness, Match: noMatch, Ontology: noMatch file name, Score: 1}
5. {Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: noMatch, Ontology: noMatch file name, Score: 1}
6. {Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: noMatch, Ontology: noMatch file name, Score: 1}
7. {Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch file name, Score: 1}
8. {Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: noMatch, Ontology: noMatch file name, Score: 1}
9. {Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: noMatch, Ontology: noMatch file name, Score: 1}
10. {Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: noMatch, Ontology: noMatch file name, Score: 1}
1. {Label: wec_std.EnergyProduced, Match: Electric Energy Production Property, Ontology: PlatoonEnergy.txt, Score: 1}  
2. {Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch file name, Score: 0}  
3. {Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch file name, Score: 0}  
4. {Label: wec_std.OperatingHours, Match: noMatch, Ontology: noMatch file name, Score: 0}  
5. {Label: wec_std.Power.avg, Match: has active power reference, Ontology: PlatoonEnergy.txt, Score: 0.33}  
6. {Label: wec_std.Power.max, Match: has maximum active power, Ontology: PlatoonEnergy.txt, Score: 0.4}  
