{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxRotationSpeed_val, Match: Rotational Speed Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: DeltaOilTemperature, Match: Temperature Difference Property, Ontology: SEASGenericProperty, Score: 1}
{Label: RatioOilGearTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Time [s], Match: Time Instant, Ontology: Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: Wind Speed Property, Ontology: EnershareWeather, Score: 1}
{Label: Nacelle_Vane [deg], Match: WindDirection, Ontology: OntoWind, Score: 1}
{Label: PitchControl_AccumulatorsOK, Match: StatusProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_Boost, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV1, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV2, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV3, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV4, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV5, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_EV6, Match: EnergyProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_Enable, Match: StatusProperty, Ontology: EnershareSystem, Score: 1}
{Label: PitchControl_PV_Blade1, Match: Power Value Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade2, Match: Power Value Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade3, Match: Power Value Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade2 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade3 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Reference [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: PressureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: PressureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: PressureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Status, Match: StatusProperty, Ontology: SEASGenericProperty, Score: 1}
