{Label: GearOilTemperature_val, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: GearboxOilInletPressure_val, Match: PressureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: HssGearBearingGenSideTemperature_val, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: GearboxRotationSpeed_val, Match: AngularVelocityProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: PressureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: DeltaOilTemperature, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: RatioOilGearTemperature, Match: TemperatureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: Time [s], Match: TimeInstant, Ontology: W3C-Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: WindSpeedProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: Nacelle_Vane [deg], Match: Measurement Property, Ontology: SEAS, Score: 1}
{Label: PitchControl_AccumulatorsOK, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Boost, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV1, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV2, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV3, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV4, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV5, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_EV6, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Enable, Match: StatusProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_PV_Blade1, Match: BooleanProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_PV_Blade2, Match: BooleanProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_PV_Blade3, Match: BooleanProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: LengthProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Position_Blade2 [m], Match: LengthProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Position_Blade3 [m], Match: LengthProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Position_Reference [m], Match: LengthProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: PressureProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: PressureProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: PressureProperty, Ontology: EnershareWeather, Score: 1}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: BarometricPressureProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: BarometricPressureProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: BarometricPressureProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Status, Match: PitchControlState, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_TrackingOK, Match: PitchControlTracking, Ontology: PlatoonWindturbine, Score: 1}
{Label: PowerUnit_Pressure [bar], Match: BarometricPressureProperty, Ontology: EnershareProperty, Score: 1}
{Label: TurbineControl_Enable, Match: TurbineControlState, Ontology: PlatoonWindturbine, Score: 1}
{Label: TurbineControl_GeneratorPower [W], Match: ElectricityConsumptionProperty, Ontology: EnershareProperty, Score: 1}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: RotationalSpeedProperty, Ontology: EnershareProperty, Score: 1}
{Label: TurbineControl_GeneratorTorque [kNm], Match: TorqueProperty, Ontology: EnershareProperty, Score: 1}
{Label: TurbineControl_PitchAngleDemand [deg], Match: degrees direction, Ontology: EnershareWeather, Score: 1}
{Label: TurbineControl_PitchAngles [deg](1), Match: degrees direction, Ontology: EnershareWeather, Score: 1}
{Label: TurbineControl_PitchAngles [deg](2), Match: degrees direction, Ontology: EnershareWeather, Score: 1}
{Label: TurbineControl_PitchAngles [deg](3), Match: degrees direction, Ontology: EnershareWeather, Score: 1}
{Label: TurbineControl_Run, Match: status, Ontology: PlatoonWindturbine, Score: 1}
{Label: parc_code, Match: identifier, Ontology: PlatoonWindturbines, Score: 1}
{Label: mac_code, Match: identifier, Ontology: PlatoonWindturbines, Score: 1}
{Label: date, Match: in XSD Date, Ontology: Time, Score: 1}
{Label: temperature_Data.AmbientTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_A_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_B_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.Blade_C_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.CtrlCabinetTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.FrontBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleAmbientTemp, Match: Air Temperature Property, Ontology: PlatoonWeather, Score: 1}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NacelleTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: temperature_Data.RearBearingTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RectifierCab_Temp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RotorTemp_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.RotorTemp_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.SpinnerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.StatorTemp_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.StatorTemp_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempExcitationHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TowerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TransformerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: wec_std.Avg_AmbientBrightness, Match: Illuminance Property, Ontology: EnersharePhotovoltaicPanel, Score: 1}
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: Active Electric Power, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: Angle Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: Ice Detection Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: Active Electric Power, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: Active Electric Power, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: Active Electric Power, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.EnergyProduced, Match: Energy Property, Ontology: EnershareProperty, Score: 1}
{Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.NbSamplingValues, Match: Count, Ontology: EnershareProperty, Score: 1}
