{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletPressure_val, Match: PressureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxRotationSpeed_val, Match: AngularVelocityProperty, Ontology: EnershareSystem, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: PressureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: DeltaOilTemperature, Match: TemperatureDifferenceProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: RatioOilGearTemperature, Match: TemperatureDifferenceProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: Time [s], Match: TimeInstant, Ontology: Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: WindSpeedProperty, Ontology: EnershareSystem, Score: 1}
{Label: Nacelle_Vane [deg], Match: AngleProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_AccumulatorsOK, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Boost, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV1, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV2, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV3, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV4, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV5, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_EV6, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Enable, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade1, Match: Power Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade2, Match: Power Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade3, Match: Power Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade2 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade3 [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Reference [m], Match: Position Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Pressure Property, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: Pressure, Ontology: OntoWind, Score: 1}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: Pressure, Ontology: OntoWind, Score: 1}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: Pressure, Ontology: OntoWind, Score: 1}
{Label: PitchControl_Status, Match: BooleanProperty, Ontology: EnershareProperty, Score: 1}
