{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxRotationSpeed_val, Match: Rotational Speed, Ontology: PlatoonAsset, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: DeltaOilTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: RatioOilGearTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Time [s], Match: Time Instant, Ontology: Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: Wind Speed, Ontology: PlatoonMeteorological, Score: 1}
{Label: Nacelle_Vane [deg], Match: WindDirectionProperty, Ontology: PlatoonWeather, Score: 1}
{Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Boost, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: PitchControl_PV_Blade1, Match: PhotovoltaicEnergyProductionProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade2, Match: PhotovoltaicEnergyProductionProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_PV_Blade3, Match: PhotovoltaicEnergyProductionProperty, Ontology: EnershareProperty, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: Position property, Ontology: PlatoonPositionProperty, Score: 1}
{Label: PitchControl_Position_Blade2 [m], Match: Position property, Ontology: PlatoonPositionProperty, Score: 1}
{Label: PitchControl_Position_Blade3 [m], Match: Position property, Ontology: PlatoonPositionProperty, Score: 1}
{Label: PitchControl_Position_Reference [m], Match: Position property, Ontology: PlatoonPositionProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: PressureProperty, Ontology: PlatoonProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: PressureProperty, Ontology: PlatoonProperty, Score: 1}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: PressureProperty, Ontology: PlatoonProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: PressureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: PressureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: PressureProperty, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Status, Match: Turbine Status, Ontology: PlatoonWindturbine, Score: 1}
