Here are the best semantic matches for the provided labels:

1. {Label: GearOilTemperature_val, Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.6}
2. {Label: GearboxOilInletTemperature_val, Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.6}
3. {Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
4. {Label: HssGearBearingGenSideTemperature_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: GearboxRotationSpeed_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: DeltaOilTemperature, Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.6}
8. {Label: RatioOilGearTemperature, Match: Voltage Property, Ontology: SEASElectricPowerSystem.txt, Score: 0.6}
9. {Label: Time [s], Match: Minute (unit of temporal duration), Ontology: Time.txt, Score: 0.6}
10. {Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch file name, Score: 0}

These are the closest matches found in the provided ontologies for the given labels.
Here are the best semantic matches for the provided labels:

1. {Label: Nacelle_Vane [deg], Match: Vane, Ontology: PlatoonWindturbine.txt, Score: 0.8}
2. {Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch file name, Score: 0}
3. {Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine.txt, Score: 0.6}
4. {Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch file name, Score: 0}
5. {Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch file name, Score: 0}
6. {Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch file name, Score: 0}
7. {Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch file name, Score: 0}
8. {Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch file name, Score: 0}
9. {Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch file name, Score: 0}
10. {Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: PitchControl_PV_Blade1, Match: Hydraulic Pitch Pump, Ontology: EnershareWindturbine.txt, Score: 0.6}  
{Label: PitchControl_PV_Blade2, Match: Hydraulic Pitch Pump, Ontology: EnershareWindturbine.txt, Score: 0.6}  
