{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxRotationSpeed_val, Match: hasRotationalSpeed, Ontology: EnershareProperty, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: DeltaOilTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: RatioOilGearTemperature, Match: Ratio Property, Ontology: EnershareProperty, Score: 1}
{Label: Time [s], Match: Second (unit of temporal duration), Ontology: Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Nacelle_Vane [deg], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_AccumulatorsOK, Match: Hydraulic Pitch Accumulator, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine, Score: 0.8}
{Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_PV_Blade1, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade2, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade3, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade1 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade2 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade3 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Reference [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Hydraulic Pitch System, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Hydraulic Pitch System, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Hydraulic Pitch System, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: hasMinimumDeliveryPressure, Ontology: EnershareProperty, Score: 0.8}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: hasMinimumDeliveryPressure, Ontology: EnershareProperty, Score: 0.8}
