{Label: GearOilTemperature_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: GearboxOilInletTemperature_val, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: HssGearBearingGenSideTemperature_val, Match: hasTemperatureGeneratorSide, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: GearboxRotationSpeed_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: DeltaOilTemperature, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: RatioOilGearTemperature, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Time [s], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Nacelle_Vane [deg], Match: Vane, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_AccumulatorsOK, Match: Hydraulic Pitch System, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Enable, Match: Signal Command, Ontology: EnershareWindturbine.txt, Score: 0.7}
{Label: PitchControl_PV_Blade1, Match: Blade, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_PV_Blade2, Match: Blade, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_PV_Blade3, Match: Blade, Ontology: PlatoonWindturbine, Score: 1}
{Label: PitchControl_Position_Blade1 [m], Match: hasPitchAngle, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Position_Blade2 [m], Match: hasPitchAngle, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Position_Blade3 [m], Match: hasPitchAngle, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Position_Reference [m], Match: hasPitchAngleSetpoint, Ontology: PlatoonWindturbine, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: pressure_sensor_measures, Ontology: OntoWind, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: pressure_sensor_measures, Ontology: OntoWind, Score: 0.8}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: pressure_sensor_measures, Ontology: OntoWind, Score: 0.8}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine.txt, Score: 0.9}
