{Label: GearOilTemperature_val, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: GearboxOilInletTemperature_val, Match: hasInputOilMaximumTemperature, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: GearboxOilInletPressure_val, Match: hasDeliveryPressure, Ontology: EnershareProperty, Score: 0.8}
{Label: HssGearBearingGenSideTemperature_val, Match: hasTemperatureGeneratorSide, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: GearboxRotationSpeed_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GearboxOilPumpPressure_val, Match: hasDeliveryPressure, Ontology: EnershareProperty, Score: 0.8}
{Label: DeltaOilTemperature, Match: hasInputOilAverageTemperature, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: RatioOilGearTemperature, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Time [s], Match: unitSecond, Ontology: Time, Score: 1}
{Label: Nacelle_Anemometer [m/s], Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Nacelle_Vane [deg], Match: WindDirection, Ontology: OntoWind, Score: 1}
{Label: PitchControl_AccumulatorsOK, Match: Pitch Accumulator, Ontology: EnershareWindturbine, Score: 1}
{Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine, Score: 1}
{Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_PV_Blade1, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade2, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade3, Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade1 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade2 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Blade3 [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Position_Reference [m], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: Pitch Control, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_Status, Match: Pitch Control, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PitchControl_TrackingOK, Match: Pitch Control, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: PowerUnit_Pressure [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_Enable, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_GeneratorPower [W], Match: Generator, Ontology: PlatoonWindturbine, Score: 0.8}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: Generator, Ontology: PlatoonWindturbine, Score: 0.8}
{Label: TurbineControl_GeneratorTorque [kNm], Match: Generator, Ontology: PlatoonWindturbine, Score: 0.8}
{Label: TurbineControl_PitchAngleDemand [deg], Match: has pitch angle setpoint, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](1), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](2), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](3), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: parc_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: date, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.AmbientTemp, Match: has Outdoor air temperature, Ontology: PlatoonWeather.txt, Score: 0.9}
{Label: temperature_Data.Blade_A_Temp, Match: Temperature Property, Ontology: SEASGenericProperty.txt, Score: 1}
{Label: temperature_Data.Blade_B_Temp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.Blade_C_Temp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.CtrlCabinetTemp, Match: has cooling air temperature setpoint, Ontology: PlatoonWeather, Score: 0.8}
{Label: temperature_Data.FrontBearingTemp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.NacelleAmbientTemp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: has cooling air temperature setpoint, Ontology: PlatoonWeather, Score: 0.8}
{Label: temperature_Data.NacelleTemp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: has temperature rotor side, Ontology: PlatoonWindturbine, Score: 0.9}
{Label: temperature_Data.RectifierCab_Temp, Match: has cooling air temperature setpoint, Ontology: PlatoonWeather, Score: 0.8}
{Label: temperature_Data.RotorTemp_1, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: temperature_Data.RotorTemp_2, Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 1}
{Label: temperature_Data.SpinnerTemp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.StatorTemp_1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.StatorTemp_2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempExcitationHeatSink, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TowerTemp, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: temperature_Data.TransformerTemp, Match: Temperature Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: wec_std.Avg_AmbientBrightness, Match: noMatch, Ontology: noMatch, Score: 1}
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.EnergyProduced, Match: Wind Energy Production Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.OperatingHours, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Power.avg, Match: Physical Power Property, Ontology: PlatoonEnergy, Score: 0.9}
{Label: wec_std.Power.max, Match: Physical Power Property, Ontology: PlatoonEnergy, Score: 0.9}
{Label: wec_std.Power.min, Match: Physical Power Property, Ontology: PlatoonEnergy, Score: 0.9}
{Label: wec_std.Precipitation.avg, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Precipitation.max, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Precipitation.min, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.ReactivePower.max, Match: Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.ReactivePower.min, Match: Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.RotorSpeed.avg, Match: WindTurbineRotorSpeed, Ontology: OntoWind, Score: 0.9}
{Label: wec_std.RotorSpeed.max, Match: WindTurbineRotorSpeed, Ontology: OntoWind, Score: 0.9}
{Label: wec_std.RotorSpeed.min, Match: WindTurbineRotorSpeed, Ontology: OntoWind, Score: 0.9}
{Label: wec_std.Visibility.avg, Match: VisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Visibility.max, Match: VisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Visibility.min, Match: VisibilityProperty, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.WindSpeed.avg, Match: WindSpeedProperty, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.WindSpeed.max, Match: WindSpeedProperty, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.WindSpeed.min, Match: WindSpeedProperty, Ontology: PlatoonWeather, Score: 0.9}
{Label: Time, Match: TemporalUnit, Ontology: Time, Score: 0.9}
{Label: ActivePowerGeneration [kW], Match: Positive Active Power Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: ActivePowerConsumption [kW], Match: Negative Active Power Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: CurrentL1 [A], Match: Phase Current Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: CurrentL2 [A], Match: Phase Current Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: CurrentL3 [A], Match: Phase Current Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: ReactivePowerGeneration [kvar], Match: Reactive Power Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: ReactivePowerConsumption [kvar], Match: Reactive Power Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: VoltageL1 [V], Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: VoltageL2 [V], Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: VoltageL3 [V], Match: Phase Voltage Property, Ontology: EnershareProperty.txt, Score: 1}
{Label: interval, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Power (kW), Match: has output power, Ontology: PlatoonEnergy.txt, Score: 0.9}
{Label: Td (st. C), Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: Tp (st. C), Match: has temperature generator side, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: Flow (m3/h), Match: consumed Natural Gas Energy Hourly Flow, Ontology: EnershareSystem.txt, Score: 0.7}
{Label: Status of the meter (MWh), Match: has Status Power Curve, Ontology: PlatoonEnergy.txt, Score: 0.7}
{Label: interval, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Tzun (0C), Match: has forecast of direct normal irradiance property, Ontology: PlatoonWeather.txt, Score: 0.6}
{Label: Td (0C), Match: has temperature rotor side, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: Tp (0C), Match: has temperature generator side, Ontology: PlatoonWindturbine.txt, Score: 0.8}
{Label: Thermal power(kW), Match: Negative Reactive Power Property, Ontology: EnershareProperty.txt, Score: 0.6}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Diameter_nominal_mm, Match: hasCrossSectionalArea, Ontology: EnershareProperty.txt, Score: 0.5}
{Label: External_diameter_mm, Match: hasCrossSectionalArea, Ontology: EnershareProperty.txt, Score: 0.5}
{Label: Year_of_construction, Match: hasCarryingOutConstructionWorks, Ontology: EnershareBuilding.txt, Score: 0.4}
{Label: Year_of_insulation, Match: hasHeatInstallationSystem, Ontology: EnershareBuilding.txt, Score: 0.4}
{Label: Branch, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Type_of_grid_name, Match: Grid, Ontology: EnershareGrid.txt, Score: 0.7}
{Label: FunctionName, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Material_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Owner_name, Match: Owner, Ontology: EnersharePlayer.txt, Score: 0.9}
{Label: Manager_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: System_Name, Match: System, Ontology: EnershareSystem.txt, Score: 0.8}
{Label: Source_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: GEO_Position, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Inseration_DATE, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Change_Date, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Comment, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: TIP_SPR, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: OID, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Length, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Component, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Carrier, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: Bus, Match: ThreePhasePowerBus, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: From Bus, Match: ThreePhasePowerBus, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: To Bus, Match: ThreePhasePowerBus, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: Pnom, Match: hasNominalRotationalSpeed, Ontology: EnershareProperty, Score: 0.8}
{Label: Capital Cost, Match: capital Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: Marginal Cost, Match: marginal Cost, Ontology: EnersharePriceProperty, Score: 1}
{Label: input_series_source_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: input_series_source_uri, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: use_case_name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Investment Period, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: carrier, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Capacity Factor, Match: has Capacity, Ontology: EnershareProperty, Score: 0.8}
{Label: Capital Expenditure, Match: capital Cost, Ontology: EnersharePriceProperty, Score: 0.9}
{Label: Curtailment, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Dispatch, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Installed Capacity, Match: has Capacity, Ontology: EnershareProperty, Score: 0.8}
{Label: Market Value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Operational Expenditure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Optimal Capacity, Match: has Optimal Capacity, Ontology: EnershareProperty, Score: 1}
{Label: Revenue, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Supply, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Withdrawal, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: min_total_load, Match: has Minimum Charge Power, Ontology: EnershareSystem, Score: 0.8}
{Label: max_total_load, Match: has Maximum Charge Power, Ontology: EnershareSystem, Score: 0.8}
{Label: min_total_load, Match: has Minimum Charge Power, Ontology: EnershareSystem, Score: 0.8}
{Label: max_total_load, Match: has Maximum Charge Power, Ontology: EnershareSystem, Score: 0.8}
{Label: min_total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: max_total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: total_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: actual_load, Match: has Total Electric Energy Load, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: price, Match: has Energy cost Price, Ontology: EnersharePriceProperty.txt, Score: 0.9}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: lignite, Match: Coal Energy, Ontology: EnershareEnergyResource.txt, Score: 0.8}
{Label: natural_gas, Match: Natural Gas Energy, Ontology: EnershareEnergyResource.txt, Score: 1}
{Label: hydroelectric, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: renewables, Match: has Renewable Energy, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: net_imports, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: res_forecast, Match: hasForecastOfTotalElectricEnergyLoadProperty, Ontology: EnershareForecast, Score: 0.9}
{Label: res_injections, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: net load, Match: hasElectricEnergyNetLoad, Ontology: EnershareProperty, Score: 0.9}
{Label: total imports, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: total exports, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_al, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: al_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_bg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: bg_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_it, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: it_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_mk, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: mk_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: gr_tr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: tr_gr, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: fossil_brown_coal/lignite, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: fossil_gas, Match: Natural Gas Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: fossil_oil, Match: Fuel Oil Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: hydro_pumped_storage, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: hydro_water_reservoir, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: solar, Match: Photovoltaic Energy, Ontology: EnershareEnergyResource, Score: 1}
{Label: wind_onshore, Match: Wind Turbine, Ontology: PlatoonWindturbine, Score: 1}
{Label: scheduled_generation, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: solar_dayahead, Match: Forecast Of direct solar radiation Property, Ontology: PlatoonWeather, Score: 1}
{Label: solar_intraday, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wind_dayahead, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wind_intraday, Match: hasWindEnergyProduction, Ontology: EnershareProperty.txt, Score: 0.9}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: min_delivery_pressure, Match: hasMinimumDeliveryPressure, Ontology: EnershareProperty.txt, Score: 1}
{Label: max_delivery_pressure, Match: hasMaximumDeliveryPressure, Ontology: EnershareProperty.txt, Score: 1}
{Label: entry_point, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: c3, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c4, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: i_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: neo_c5, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: c6_plus, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: n2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: co2, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: gross_heating_value, Match: has Daily Gross Calorific Value, Ontology: EnershareProperty, Score: 0.9}
{Label: wobbe_index, Match: Wobbe Index Property, Ontology: EnershareProperty, Score: 1}
{Label: water_dew_point, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: hydrocarbon_dew_point_max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: timestamp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_id, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: value, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: point_type, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: t1, Match: noMatch, Ontology: noMatch file name, Score: 0}
