{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilInletPressure_val, Match: PressureSensor, Ontology: OntoWind, Score: 0.9}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxRotationSpeed_val, Match: Speed Property, Ontology: SEASGenericProperty, Score: 1}
{Label: GearboxOilPumpPressure_val, Match: PressureSensor, Ontology: OntoWind, Score: 0.9}
{Label: DeltaOilTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: RatioOilGearTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: Time [s], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Nacelle_Anemometer [m/s], Match: PropellerAnemometer, Ontology: OntoWind, Score: 1}
{Label: Nacelle_Vane [deg], Match: Wind Vane, Ontology: OntoWind, Score: 0.9}
{Label: PitchControl_AccumulatorsOK, Match: Pitch Accumulator, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine, Score: 0.8}
{Label: PitchControl_EV1, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_EV2, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_EV3, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_EV4, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_EV5, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_EV6, Match: Signal Command, Ontology: EnershareWindturbine, Score: 0.7}
{Label: PitchControl_Enable, Match: Signal Function, Ontology: EnershareWindturbine, Score: 0.8}
{Label: PitchControl_PV_Blade1, Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_PV_Blade2, Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_PV_Blade3, Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Position_Blade1 [m], Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Position_Blade2 [m], Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Position_Blade3 [m], Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Position_Reference [m], Match: Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: Hydraulic Pitch Cylinder, Ontology: EnershareWindturbine, Score: 0.9}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_Status, Match: Status Property, Ontology: SEASGenericProperty, Score: 1}
{Label: PitchControl_TrackingOK, Match: Tracking Property, Ontology: SEASGenericProperty, Score: 1}
{Label: PowerUnit_Pressure [bar], Match: Pressure Property, Ontology: SEASGenericProperty, Score: 1}
{Label: TurbineControl_Enable, Match: Enable Property, Ontology: SEASGenericProperty, Score: 1}
{Label: TurbineControl_GeneratorPower [W], Match: Electric Power Property, Ontology: SEASElectricPowerSystem, Score: 1}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: Rotational Speed Property, Ontology: SEASGenericProperty, Score: 1}
{Label: TurbineControl_GeneratorTorque [kNm], Match: Torque Property, Ontology: SEASGenericProperty, Score: 1}
{Label: TurbineControl_PitchAngleDemand [deg], Match: has pitch angle setpoint, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](1), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](2), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_PitchAngles [deg](3), Match: has pitch angle, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: parc_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: date, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.AmbientTemp, Match: Air Temperature Property, Ontology: PlatoonWeather.txt, Score: 1}
{Label: temperature_Data.Blade_A_Temp, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: temperature_Data.Blade_B_Temp, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.Blade_C_Temp, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.CtrlCabinetTemp, Match: hasCoolingAirTemperatureSetpoint, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.FrontBearingTemp, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.NacelleAmbientTemp, Match: hasOutdoorAirTemperature, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: hasCoolingAirTemperatureSetpoint, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.NacelleTemp, Match: hasOutdoorAirTemperature, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: temperature_Data.RectifierCab_Temp, Match: hasCoolingAirTemperatureSetpoint, Ontology: PlatoonWeather.txt, Score: 0.8}
{Label: temperature_Data.RotorTemp_1, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine, Score: 1}
{Label: temperature_Data.RotorTemp_2, Match: hasTemperatureRotorSide, Ontology: PlatoonWindturbine, Score: 1}
{Label: temperature_Data.SpinnerTemp, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.StatorTemp_1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.StatorTemp_2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: TemperatureProperty, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempExcitationHeatSink, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TowerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: temperature_Data.TransformerTemp, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 1}
{Label: wec_std.Avg_AmbientBrightness, Match: has global horizontal irradiance, Ontology: PlatoonWeather, Score: 0.9}
```json
[
    {Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: Active Power Property, Ontology: EnershareProperty, Score: 0.9},
    {Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: Blade, Ontology: OntoWind, Score: 0.8},
    {Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch, Score: 0},
    {Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: Active Power Property, Ontology: EnershareProperty, Score: 0.9},
    {Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: Active Power Property, Ontology: EnershareProperty, Score: 0.9},
    {Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: Wind Energy Production Property, Ontology: EnershareProperty, Score: 0.8},
    {Label: wec_std.EnergyProduced, Match: Energy Production Property, Ontology: EnershareProperty, Score: 0.9},
    {Label: wec_std.NacellePosition, Match: Nacelle, Ontology: OntoWind, Score: 0.8},
    {Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0},
    {Label: wec_std.OperatingHours, Match: noMatch, Ontology: noMatch, Score: 0}
]
```
{Label: wec_std.Power.avg, Match: Electric Power Property, Ontology: SEASElectricPowerSystem, Score: 0.9}
{Label: wec_std.Power.max, Match: has Maximum Charge Power, Ontology: EnershareSystem, Score: 0.9}
{Label: wec_std.Power.min, Match: has Minimum Charge Power, Ontology: EnershareSystem, Score: 0.9}
{Label: wec_std.Precipitation.avg, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Precipitation.max, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.Precipitation.min, Match: Forecast Of Precipitation Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.ReactivePower.max, Match: Positive Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.ReactivePower.min, Match: Negative Reactive Power Property, Ontology: EnershareProperty, Score: 0.9}
{Label: wec_std.RotorSpeed.avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.RotorSpeed.max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.RotorSpeed.min, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Visibility.avg, Match: Visibility Evaluation, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.Visibility.max, Match: Visibility Evaluation, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.Visibility.min, Match: Visibility Evaluation, Ontology: PlatoonWeather, Score: 0.9}
{Label: wec_std.WindSpeed.avg, Match: Wind Gust Speed Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.WindSpeed.max, Match: Wind Gust Speed Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: wec_std.WindSpeed.min, Match: Wind Gust Speed Property, Ontology: PlatoonWeather, Score: 0.8}
{Label: Time, Match: unitDecade, Ontology: Time, Score: 0.9}
{Label: ActivePowerGeneration [kW], Match: PositiveActivePowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: ActivePowerConsumption [kW], Match: NegativeActivePowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL1 [A], Match: PhaseCurrentProperty, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL2 [A], Match: PhaseCurrentProperty, Ontology: EnershareProperty, Score: 1}
{Label: CurrentL3 [A], Match: PhaseCurrentProperty, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerGeneration [kvar], Match: PositiveReactivePowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: ReactivePowerConsumption [kvar], Match: NegativeReactivePowerProperty, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL1 [V], Match: PhaseVoltageProperty, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL2 [V], Match: PhaseVoltageProperty, Ontology: EnershareProperty, Score: 1}
{Label: VoltageL3 [V], Match: PhaseVoltageProperty, Ontology: EnershareProperty, Score: 1}
{Label: interval, Match: noMatch, Ontology: noMatch, Score: 0}
