{Label: GearOilTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxOilInletTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: HssGearBearingGenSideTemperature_val, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: GearboxRotationSpeed_val, Match: Speed Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch file name, Score: 0}
{Label: DeltaOilTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: RatioOilGearTemperature, Match: Temperature Property, Ontology: SEASGenericProperty, Score: 0.9}
{Label: Time [s], Match: Second (unit of temporal duration), Ontology: Time, Score: 0.9}
{Label: Nacelle_Anemometer [m/s], Match: Speed Property, Ontology: SEASGenericProperty, Score: 0.8}
{Label: Nacelle_Vane [deg], Match: Vane, Ontology: PlatoonWindturbine.txt, Score: 0.9}
{Label: PitchControl_AccumulatorsOK, Match: Pitch Accumulator, Ontology: EnershareWindturbine.txt, Score: 0.85}
{Label: PitchControl_Boost, Match: Boost Converter, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_EV1, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV2, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV3, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV4, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV5, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_EV6, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.8}
{Label: PitchControl_Enable, Match: Signal Function, Ontology: EnershareWindturbine.txt, Score: 0.75}
{Label: PitchControl_PV_Blade1, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade2, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
{Label: PitchControl_PV_Blade3, Match: Pitch Proportional Valve, Ontology: EnershareWindturbine.txt, Score: 0.9}
