{Label: GearOilTemperature_val, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: GearboxOilInletTemperature_val, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: GearboxOilInletPressure_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: HssGearBearingGenSideTemperature_val, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: GearboxRotationSpeed_val, Match: speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: GearboxOilPumpPressure_val, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: DeltaOilTemperature, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: RatioOilGearTemperature, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Time [s], Match: working life, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: Nacelle_Anemometer [m/s], Match: wind speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: Nacelle_Vane [deg], Match: wind direction, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: PitchControl_AccumulatorsOK, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Boost, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV4, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV5, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_EV6, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Enable, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_PV_Blade1, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_PV_Blade2, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_PV_Blade3, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Position_Blade1 [m], Match: length, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: PitchControl_Position_Blade2 [m], Match: length, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: PitchControl_Position_Blade3 [m], Match: length, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: PitchControl_Position_Reference [m], Match: length, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: PitchControl_Pressure_A1_Blade1 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A1_Blade2 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A1_Blade3 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A2_Blade1 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A2_Blade2 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Pressure_A2_Blade3 [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_Status, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PitchControl_TrackingOK, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: PowerUnit_Pressure [bar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_Enable, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_GeneratorPower [W], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_GeneratorSpeed [rpm], Match: speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: TurbineControl_GeneratorTorque [kNm], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TurbineControl_PitchAngleDemand [deg], Match: angle, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: TurbineControl_PitchAngles  , Match: angle, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: TurbineControl_PitchAngles  , Match: angle, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: TurbineControl_PitchAngles  , Match: angle, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: TurbineControl_Run, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: parc_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: mac_code, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: date, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.AmbientTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.Blade_A_Temp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.Blade_B_Temp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.Blade_C_Temp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.CtrlCabinetTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.FrontBearingTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.NacelleAmbientTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.NacelleCtrlCabTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.NacelleTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: temperature_Data.RearBearingTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.RectifierCab_Temp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.RotorTemp_1, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.RotorTemp_2, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.SpinnerTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.StatorTemp_1, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.StatorTemp_2, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempBlade_A_PitchHeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempBlade_B_PitchHeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempBlade_C_PitchHeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempExcitationHeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempInSys_1_PowerCab_1, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempInSys_1_PowerCab_2, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempInSys_1_PowerCab_3, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempPitchCtrlBox_Blade_A, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempPitchCtrlBox_Blade_B, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempPitchCtrlBox_Blade_C, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempRectifier_1_HeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TempRectifier_2_HeatSink, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TowerTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: temperature_Data.TransformerTemp, Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: wec_std.Avg_AmbientBrightness, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_AvailableActivePowerLimitedByExtSetPoints, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_BladeAngleAcross_A_B_C, Match: angle, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: wec_std.Avg_LabkoIceAmplForIceDetection, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_MaxAvailableActivePowerLimitedByForceMajeure, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TechnicallyAvailableActivePower, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Avg_TheoreticallAvailableActivePowerInTheWind, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.EnergyProduced, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.NacellePosition, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.NbSamplingValues, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.OperatingHours, Match: working life, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: wec_std.Power.avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Power.max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Power.min, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Precipitation.avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Precipitation.max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Precipitation.min, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.ProductivveMinutes, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.ReactivePower.avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.ReactivePower.max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.ReactivePower.min, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.RotorSpeed.avg, Match: speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: wec_std.RotorSpeed.max, Match: speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: wec_std.RotorSpeed.min, Match: speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: wec_std.Visibility.avg, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Visibility.max, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.Visibility.min, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: wec_std.WindSpeed.avg, Match: wind speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: wec_std.WindSpeed.max, Match: wind speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: wec_std.WindSpeed.min, Match: wind speed, Ontology: SEASGenericProperty.txt, Score: 0.80}
{Label: Time, Match: working life, Ontology: SEASGenericProperty.txt, Score: 0.75}
{Label: ActivePowerGeneration [kW], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ActivePowerConsumption [kW], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: CurrentL1 [A], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: CurrentL2 [A], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: CurrentL3 [A], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ReactivePowerGeneration [kvar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ReactivePowerConsumption [kvar], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: VoltageL1 [V], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: VoltageL2 [V], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: VoltageL3 [V], Match: noMatch, Ontology: noMatch, Score: 0}
{Label: interval, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Power (kW), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Td (st. C), Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Tp (st. C), Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Flow (m3/h), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Status of the meter (MWh), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: interval, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Tzun (0C), Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Td (0C), Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Tp (0C), Match: temperature, Ontology: SEASGenericProperty.txt, Score: 0.85}
{Label: Thermal power(kW), Match: noMatch, Ontology: noMatch, Score: 0}
{Label: UPRA_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: ZK_GJI_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TO_CEV_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Diameter_nominal_mm, Match: diameter, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: External_diameter_mm, Match: diameter, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: Year_of_construction, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Year_of_insulation, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Branch, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Type_of_grid_name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: FunctionName, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Material_type, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Owner_name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Manager_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: System_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Source_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Accuracy_XY_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Accuracy_Z_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: GJI_VIS_DATE_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: GJI_ZK_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: GEO_Position, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Position_of_pipe_system_Name, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: INVENTORY_ID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: OS_ID_MOV, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: OS_ID_SOS, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Inseration_DATE, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Change_Date, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Comment, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: TIP_SPR, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: OID, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Length, Match: length, Ontology: SEASGenericProperty.txt, Score: 0.70}
{Label: Component, Match: noMatch, Ontology: noMatch, Score: 0}
{Label: Carrier, Match: noMatch, Ontology: noMatch, Score: 0}
